timestamp,open,high,low,close,adjusted close,volume,dividend amount
2010-01-15,131.0600,132.8900,128.6700,131.7800,72.3951,35873500,0.0000
2010-01-08,131.1800,132.9700,128.9100,130.8500,71.8842,28639800,0.0000
2009-12-31,130.9900,132.8500,130.6800,130.9000,71.9117,18075000,0.0000
2009-12-24,127.8000,130.5700,127.6800,130.5700,71.7304,18700700,0.0000
2009-12-18,129.6500,129.9800,127.0000,127.9100,70.2691,34452500,0.0000
2009-12-11,126.8800,129.7700,126.1100,129.6800,71.2415,29242700,0.0000
2009-12-04,125.1200,128.9000,124.9200,127.2500,69.9065,30307700,0.0000
2009-11-27,127.7000,128.9400,124.2600,125.7000,69.0550,19106900,0.0000
2009-11-20,127.1700,128.6550,126.4600,126.9600,69.7472,23482700,0.0000
2009-11-13,123.9200,127.8000,123.4900,127.0300,69.7857,31065000,0.0000
2009-11-06,120.6100,123.5000,119.5000,123.4900,67.8409,30790900,0.5500
2009-10-30,120.6100,124.3000,119.1500,120.6100,65.9650,38785400,0.0000
2009-10-23,121.7600,124.1100,120.0000,120.3600,65.8282,36292000,0.0000
2009-10-16,125.4400,128.6100,121.2500,121.6400,66.5283,55978800,0.0000
2009-10-09,118.9000,126.0000,118.1300,125.9300,68.8746,37825500,0.0000
2009-10-02,120.5200,122.0000,117.2600,119.0200,65.0953,37380100,0.0000
2009-09-25,121.0300,122.7400,120.1000,121.0800,66.2220,26232600,0.0000
2009-09-18,117.0000,122.8800,116.9400,122.1100,66.7853,40859700,0.0000
2009-09-11,117.9400,119.2500,116.1600,118.0500,64.5648,21828700,0.0000
2009-09-04,117.1000,118.9300,115.1500,117.4600,64.2421,25309900,0.0000
2009-08-28,119.9200,120.8800,117.5100,118.2200,64.6578,26123700,0.0000
2009-08-21,116.6900,120.0100,116.1200,119.9000,65.5766,27622200,0.0000
2009-08-14,118.1700,119.9600,117.3200,118.5700,64.8492,25401100,0.0000
2009-08-07,118.8800,119.9600,116.7000,119.3300,65.2649,27893800,0.5500
2009-07-31,116.9500,119.3700,116.0500,117.9300,64.1984,28085700,0.0000
2009-07-24,114.5300,118.1500,114.3900,117.6400,64.0405,42520000,0.0000
2009-07-17,101.2800,115.5300,100.1900,115.4200,62.8320,58793700,0.0000
2009-07-10,101.5700,102.7800,99.5000,100.8300,54.8895,34208000,0.0000
2009-07-02,105.9900,106.2700,101.7300,101.7300,55.3795,24758400,0.0000
2009-06-26,105.1800,106.7850,103.5100,105.6800,57.5298,30871700,0.0000
2009-06-19,107.6300,109.1400,105.5000,105.8900,57.6441,42930700,0.0000
2009-06-12,106.6400,110.6400,105.5000,108.2100,58.9070,38913000,0.0000
2009-06-05,106.9400,108.8000,105.1100,107.2400,58.3790,35592300,0.0000
2009-05-29,101.3200,106.5000,101.0200,106.2800,57.8564,27330100,0.0000
2009-05-22,102.0000,106.1200,101.7400,101.8900,55.4666,34599500,0.0000
2009-05-15,101.0900,104.3800,100.5700,101.3700,55.1835,42229200,0.0000
2009-05-08,105.2600,106.8200,99.8300,101.4900,55.2488,42691700,0.5500
2009-05-01,99.6100,106.0500,99.2500,104.6100,56.6495,46394300,0.0000
2009-04-24,100.2900,103.8600,98.2000,100.0800,54.1963,59469300,0.0000
2009-04-17,100.2800,102.0400,96.4400,101.2700,54.8408,41711800,0.0000
2009-04-09,100.9000,102.4500,98.5200,101.7000,55.0736,32887100,0.0000
2009-04-03,92.0000,102.6600,91.8000,102.2200,55.3552,64912500,0.0000
2009-03-27,93.7000,99.8600,92.7500,94.1500,50.9851,60950700,0.0000
2009-03-20,91.3400,95.0000,89.4100,92.5100,50.0969,63330900,0.0000
2009-03-13,84.7000,90.6500,83.0200,90.3600,48.9327,61831600,0.0000
2009-03-06,91.1700,91.9000,83.8100,85.8100,46.4687,74483600,0.0000
2009-02-27,89.3000,93.2800,82.8500,92.0300,49.8370,77805700,0.0000
2009-02-20,91.7300,92.4900,87.3400,88.7900,48.0825,42419500,0.0000
2009-02-13,95.9300,96.9800,92.2000,93.8400,50.8172,49132900,0.0000
2009-02-06,90.6000,97.1000,89.6900,96.1400,52.0627,53659500,0.5000
2009-01-30,89.7700,94.9400,89.5200,91.6500,49.3744,50819300,0.0000
2009-01-23,84.7600,91.6000,81.7600,89.4900,48.2108,61309500,0.0000
2009-01-16,84.5700,86.6000,82.1100,84.9200,45.7488,48180000,0.0000
2009-01-09,86.4200,90.4100,84.2500,84.7000,45.6303,41092400,0.0000
2009-01-02,81.7200,87.5900,79.6800,87.3700,47.0687,26062900,0.0000
2008-12-26,83.2700,83.4500,79.9200,81.3300,43.8148,18974200,0.0000
2008-12-19,82.5100,87.2700,80.0000,83.5200,44.9946,50128100,0.0000
2008-12-12,82.5700,85.8800,78.0600,82.2000,44.2835,49785100,0.0000
2008-12-05,80.9500,81.5000,75.3100,80.5900,43.4161,51454000,0.0000
2008-11-28,75.7400,82.4000,75.0000,81.6000,43.9602,39691800,0.0000
2008-11-21,79.4000,81.0000,69.5000,74.8800,40.3400,73411500,0.0000
2008-11-14,87.9900,88.1000,75.4000,80.3300,43.2760,58194400,0.0000
2008-11-07,92.6400,94.7600,84.2500,86.2700,46.4761,47015300,0.5000
2008-10-31,80.2700,94.1900,79.0100,92.9700,49.7932,60537100,0.0000
2008-10-24,92.2100,93.3100,78.8200,82.0700,43.9553,58306900,0.0000
2008-10-17,90.4400,99.0000,84.3500,90.7800,48.6203,75048600,0.0000
2008-10-10,101.2100,103.0000,83.5100,87.7500,46.9974,86848900,0.0000
2008-10-03,117.4400,118.4300,103.0300,103.4400,55.4007,62809100,0.0000
2008-09-26,118.4500,121.9900,114.1400,119.4200,63.9594,34730600,0.0000
2008-09-19,115.3600,124.0000,110.6100,118.8500,63.6541,66307100,0.0000
2008-09-12,118.0000,119.9500,115.0000,118.9700,63.7184,46783800,0.0000
2008-09-05,122.8700,124.0000,113.1700,114.3300,61.2332,42011600,0.0000
2008-08-29,124.4800,125.4500,121.5000,121.7300,65.1966,30493600,0.0000
2008-08-22,126.4900,127.0000,121.5500,124.9300,66.9104,34457400,0.0000
2008-08-15,128.4300,128.4300,124.4000,126.3600,67.6763,32724200,0.0000
2008-08-08,126.7700,129.9700,126.2500,128.8100,68.9885,34413900,0.5000
2008-08-01,127.6900,129.5000,126.1300,126.6400,67.5647,28699300,0.0000
2008-07-25,129.8300,130.9300,127.2600,128.5300,68.5731,45950300,0.0000
2008-07-18,121.8000,130.0000,119.9000,129.8900,69.2987,59542700,0.0000
2008-07-11,119.6200,124.5000,119.6200,122.1200,65.1532,47346100,0.0000
2008-07-03,119.9900,120.7800,116.6000,119.5400,63.7767,32716800,0.0000
2008-06-27,123.0000,125.8300,118.2600,120.0500,64.0488,41907700,0.0000
2008-06-20,125.4600,127.1400,122.3600,122.7400,65.4840,35367900,0.0000
2008-06-13,125.3800,126.7220,122.8600,126.1500,67.3033,31303600,0.0000
2008-06-06,128.6700,129.3700,124.7400,124.9400,66.6577,35309300,0.0000
2008-05-30,124.0100,129.9900,124.0000,129.4300,69.0532,33079200,0.0000
2008-05-23,127.6800,128.2100,123.0200,124.2000,66.2629,31469600,0.0000
2008-05-16,123.8000,128.8300,123.5600,127.8200,68.1943,40848500,0.0000
2008-05-09,122.7600,125.1700,120.7800,124.0600,66.1882,38973400,0.5000
2008-05-02,122.9800,124.4300,120.5000,123.1800,65.4551,36106300,0.0000
2008-04-25,122.0500,124.9000,122.0500,123.0800,65.4020,32273700,0.0000
2008-04-18,116.2000,125.0000,115.5400,124.4000,66.1034,67195200,0.0000
2008-04-11,116.3700,119.2200,115.2800,116.0000,61.6398,38989700,0.0000
2008-04-04,113.9500,118.3700,113.3400,115.7600,61.5123,42376300,0.0000
2008-03-28,118.5700,119.7900,114.2100,114.5700,60.8800,41496800,0.0000
2008-03-20,113.0000,118.5000,113.0000,118.3300,62.8779,39979100,0.0000
2008-03-14,113.1200,118.0000,112.6900,115.2301,61.2307,48594600,0.0000
2008-03-07,114.0900,116.4100,111.8000,113.9400,60.5452,39506500,0.0000
2008-02-29,107.6800,116.6300,107.4300,113.8600,60.5027,54366700,0.0000
2008-02-22,106.7900,109.6000,104.5300,108.0700,57.4260,31292600,0.0000
2008-02-15,102.9000,108.9300,102.8700,106.1600,56.4111,33932900,0.0000
2008-02-08,108.4000,109.0000,100.6000,103.2700,54.8754,40641500,0.4000
2008-02-01,104.4100,109.4000,103.7000,109.0800,57.7397,39007500,0.0000
2008-01-25,99.1600,107.7900,98.5000,104.5200,55.3260,57768700,0.0000
2008-01-18,105.0000,106.7200,100.0500,103.4000,54.7331,78126300,0.0000
2008-01-11,100.3550,101.0000,97.0400,97.6700,51.7000,52601500,0.0000
2008-01-04,109.2500,110.0000,100.4800,101.1300,53.5315,33799300,0.0000
2007-12-28,111.2000,112.1900,109.1080,110.0900,58.2744,16539900,0.0000
2007-12-21,105.3700,111.1600,104.0000,111.0500,58.7825,43481700,0.0000
2007-12-14,109.0000,110.4000,104.1000,105.7700,55.9876,36725700,0.0000
2007-12-07,105.4500,110.0000,104.5800,108.8600,57.6233,31672000,0.0000
2007-11-30,104.4000,109.1900,101.5000,105.1800,55.6753,46569900,0.0000
2007-11-23,104.3400,105.3900,101.3400,104.0500,55.0772,27820500,0.0000
2007-11-16,101.8900,106.4200,100.7000,104.7900,55.4689,50102700,0.0000
2007-11-09,115.1100,115.1100,99.2700,100.2542,53.0679,62718300,0.4000
2007-11-02,113.9000,116.2500,113.2800,114.5900,60.4387,30044700,0.0000
2007-10-26,110.9700,114.8000,110.9600,113.7300,59.9851,32762600,0.0000
2007-10-19,117.9500,119.9400,111.8000,112.2800,59.2203,53958800,0.0000
2007-10-12,116.1000,121.4600,115.8800,117.8100,62.1371,35082300,0.0000
